165	120
0	100	60	16	32
22	1890	120	16	16
17	2448	95	22	22
20	2115	150	16	25
1	0	113	160	80
1	1922	162	127	28
1	2034	0	16	160
1	2066	177	520	16
14	226	113	16	16
14	242	113	16	16
14	258	113	16	16
14	274	113	16	16
14	385	98	16	16
14	401	98	16	16
14	417	98	16	16
14	433	98	16	16
14	449	98	16	16
14	642	130	16	16
14	657	130	16	16
14	610	50	16	16
14	626	50	16	16
14	642	50	16	16
14	658	50	16	16
14	754	82	16	16
14	754	98	16	16
14	754	114	16	16
14	754	130	16	16
14	770	130	16	16
14	786	130	16	16
14	802	130	16	16
14	866	98	16	16
14	866	114	16	16
14	866	130	16	16
14	866	146	16	16
14	882	146	16	16
14	898	146	16	16
14	962	162	16	16
14	978	162	16	16
14	994	162	16	16
14	1010	162	16	16
14	1026	114	16	16
14	1042	114	16	16
14	1058	114	16	16
14	1074	114	16	16
14	1170	146	16	16
14	1186	146	16	16
14	1202	146	16	16
14	1218	146	16	16
14	1266	130	16	16
14	1282	130	16	16
14	1186	65	16	16
14	1202	65	16	16
14	1218	65	16	16
14	1234	65	16	16
14	1394	66	16	16
14	1410	66	16	16
14	1426	66	16	16
14	1538	66	16	16
14	1538	130	16	16
14	1538	146	16	16
14	1538	162	16	16
14	1554	162	16	16
14	1570	162	16	16
14	1586	162	16	16
14	1730	50	16	16
14	1730	66	16	16
14	1730	82	16	16
14	1778	130	16	16
14	1794	130	16	16
14	1810	130	16	16
18	368	82	18	48
18	561	115	48	16
18	592	68	48	16
18	625	161	48	16
18	753	97	48	16
18	1089	145	48	16
18	1201	82	48	16
18	1377	113	48	16
18	1410	97	48	16
18	1553	65	48	16
18	1777	98	48	16
18	1745	145	48	16
18	1793	177	48	16
13	338	65	16	16
13	354	65	16	16
13	371	65	16	16
13	418	34	16	16
13	435	34	16	16
13	450	34	16	16
13	770	65	16	16
13	786	65	16	16
13	803	65	16	16
13	850	34	16	16
13	867	34	16	16
13	883	34	16	16
13	1330	50	16	16
13	1347	50	16	16
13	1363	50	16	16
13	1507	34	16	16
13	1507	50	16	16
13	1507	66	16	16
13	1507	80	16	16
13	1507	96	16	16
13	1507	114	16	16
13	1507	130	16	16
13	1507	146	16	16
13	1890	66	16	16
13	1907	66	16	16
13	1923	66	16	16
5	1937	97	32	64
5	2192	143	32	32
19	962	114	16	16
19	1010	114	16	16
19	1234	50	16	16
19	1538	50	16	16
50	1940	120	32	16
50	2556	160	32	16
